nct_id,official_title,intervention_name,target,indication,toxicity_profile,phase,enrollment,status
NCT00000165,Study of Daratumumab in Multiple myeloma,Daratumumab,CD38,Multiple myeloma,infusion_reactions,Phase 3,4508,Suspended
NCT00000166,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 4,4953,Terminated
NCT00000167,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 2,1721,Completed
NCT00000168,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 4,2097,Suspended
NCT00000169,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 4,2855,Completed
NCT00000170,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 3,1589,Suspended
NCT00000171,Study of Bevacizumab in Multiple cancers,Bevacizumab,VEGF,Multiple cancers,vascular,Phase 3,2216,Terminated
NCT00000172,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 3,4653,Completed
NCT00000173,Study of Daratumumab in Multiple myeloma,Daratumumab,CD38,Multiple myeloma,infusion_reactions,Phase 2,195,Recruiting
NCT00000174,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 4,4648,Recruiting
NCT00000175,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 4,3771,Completed
NCT00000176,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 3,1915,Suspended
NCT00000177,Study of Bevacizumab in Multiple cancers,Bevacizumab,VEGF,Multiple cancers,vascular,Phase 3,4864,Terminated
NCT00000178,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 3,3585,Terminated
NCT00000179,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 4,2319,Terminated
NCT00000180,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 2,267,Recruiting
NCT00000181,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 1,1541,Recruiting
NCT00000182,Study of Bevacizumab in Multiple cancers,Bevacizumab,VEGF,Multiple cancers,vascular,Phase 2,1532,Suspended
NCT00000183,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 3,923,Recruiting
NCT00000184,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 2,759,Recruiting
NCT00000185,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 1,1470,Recruiting
NCT00000186,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 1,131,Terminated
NCT00000187,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 4,940,Completed
NCT00000188,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 3,3945,Suspended
NCT00000189,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 3,1610,Completed
NCT00000190,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 4,1034,Completed
NCT00000191,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 4,706,Completed
NCT00000192,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 2,1681,Terminated
NCT00000193,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 2,262,Suspended
NCT00000194,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 2,1608,Suspended
NCT00000195,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 4,2535,Suspended
NCT00000196,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 1,1268,Completed
NCT00000197,Study of Bevacizumab in Multiple cancers,Bevacizumab,VEGF,Multiple cancers,vascular,Phase 2,561,Completed
NCT00000198,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 2,375,Completed
NCT00000199,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 1,856,Suspended
NCT00000200,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 4,2485,Completed
NCT00000201,Study of Bevacizumab in Multiple cancers,Bevacizumab,VEGF,Multiple cancers,vascular,Phase 3,2416,Suspended
NCT00000202,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 2,1912,Terminated
NCT00000203,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 2,890,Completed
NCT00000204,Study of Daratumumab in Multiple myeloma,Daratumumab,CD38,Multiple myeloma,infusion_reactions,Phase 2,1346,Recruiting
NCT00000205,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 2,166,Completed
NCT00000206,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 3,4974,Terminated
NCT00000207,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 1,979,Terminated
NCT00000208,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 3,4199,Suspended
NCT00000209,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 1,1244,Completed
NCT00000210,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 3,2151,Completed
NCT00000211,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 2,1989,Completed
NCT00000212,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 1,1582,Recruiting
NCT00000213,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 4,2378,Recruiting
NCT00000214,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 4,4128,Completed
NCT00000215,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 3,3445,Terminated
NCT00000216,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 1,1776,Recruiting
NCT00000217,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 4,4158,Terminated
NCT00000218,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 1,951,Completed
NCT00000219,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 3,2748,Completed
NCT00000220,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 1,1366,Suspended
NCT00000221,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 1,404,Terminated
NCT00000222,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 4,3721,Completed
NCT00000223,Study of Bevacizumab in Multiple cancers,Bevacizumab,VEGF,Multiple cancers,vascular,Phase 3,4599,Recruiting
NCT00000224,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 4,4070,Completed
NCT00000225,Study of Rituximab in B-cell lymphoma,Rituximab,CD20,B-cell lymphoma,infusion_reactions,Phase 2,1473,Recruiting
NCT00000226,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 1,1151,Suspended
NCT00000227,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 2,1743,Completed
NCT00000228,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 1,1346,Recruiting
NCT00000229,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 3,4268,Terminated
NCT00000230,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 4,3968,Recruiting
NCT00000231,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 2,805,Recruiting
NCT00000232,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 2,1789,Completed
NCT00000233,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 4,2884,Terminated
NCT00000234,Study of Rituximab in B-cell lymphoma,Rituximab,CD20,B-cell lymphoma,infusion_reactions,Phase 3,2545,Suspended
NCT00000235,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 4,4512,Suspended
NCT00000236,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 3,4621,Suspended
NCT00000237,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 3,1645,Recruiting
NCT00000238,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 4,2013,Suspended
NCT00000239,Study of Rituximab in B-cell lymphoma,Rituximab,CD20,B-cell lymphoma,infusion_reactions,Phase 3,3974,Suspended
NCT00000240,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 2,1034,Completed
NCT00000241,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 3,922,Suspended
NCT00000242,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 4,225,Recruiting
NCT00000243,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 2,173,Suspended
NCT00000244,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 3,3356,Completed
NCT00000245,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 4,2694,Suspended
NCT00000246,Study of Daratumumab in Multiple myeloma,Daratumumab,CD38,Multiple myeloma,infusion_reactions,Phase 1,1284,Completed
NCT00000247,Study of Bevacizumab in Multiple cancers,Bevacizumab,VEGF,Multiple cancers,vascular,Phase 3,1963,Completed
NCT00000248,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 1,1577,Completed
NCT00000249,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 2,1441,Terminated
NCT00000250,Study of Rituximab in B-cell lymphoma,Rituximab,CD20,B-cell lymphoma,infusion_reactions,Phase 1,684,Completed
NCT00000251,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 3,3170,Suspended
NCT00000252,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 2,1107,Suspended
NCT00000253,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 2,368,Recruiting
NCT00000254,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 4,2072,Suspended
NCT00000255,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 2,495,Suspended
NCT00000256,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 4,2191,Completed
NCT00000257,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 3,4577,Recruiting
NCT00000258,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 4,2930,Terminated
NCT00000259,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 3,3842,Terminated
NCT00000260,Study of Bevacizumab in Multiple cancers,Bevacizumab,VEGF,Multiple cancers,vascular,Phase 4,4058,Completed
NCT00000261,Study of Bevacizumab in Multiple cancers,Bevacizumab,VEGF,Multiple cancers,vascular,Phase 4,4785,Terminated
NCT00000262,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 3,2518,Completed
NCT00000263,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 3,166,Completed
NCT00000264,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 4,2444,Recruiting
NCT00000265,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 3,1894,Recruiting
NCT00000266,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 3,1220,Completed
NCT00000267,Study of Rituximab in B-cell lymphoma,Rituximab,CD20,B-cell lymphoma,infusion_reactions,Phase 3,3711,Completed
NCT00000268,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 3,1176,Completed
NCT00000269,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 3,3503,Recruiting
NCT00000270,Study of Bevacizumab in Multiple cancers,Bevacizumab,VEGF,Multiple cancers,vascular,Phase 2,1630,Terminated
NCT00000271,Study of Daratumumab in Multiple myeloma,Daratumumab,CD38,Multiple myeloma,infusion_reactions,Phase 3,1447,Terminated
NCT00000272,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 3,2874,Completed
NCT00000273,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 1,308,Recruiting
NCT00000274,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 3,839,Suspended
NCT00000275,Study of Rituximab in B-cell lymphoma,Rituximab,CD20,B-cell lymphoma,infusion_reactions,Phase 3,4495,Completed
NCT00000276,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 3,2247,Suspended
NCT00000277,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 1,1402,Recruiting
NCT00000278,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 1,1288,Terminated
NCT00000279,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 2,1346,Completed
NCT00000280,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 3,3444,Completed
NCT00000281,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 1,1957,Completed
NCT00000282,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 4,1051,Completed
NCT00000283,Study of Bevacizumab in Multiple cancers,Bevacizumab,VEGF,Multiple cancers,vascular,Phase 2,815,Suspended
NCT00000284,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 4,4911,Recruiting
NCT00000285,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 1,1727,Suspended
NCT00000286,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 4,2391,Completed
NCT00000287,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 2,928,Suspended
NCT00000288,Study of Bevacizumab in Multiple cancers,Bevacizumab,VEGF,Multiple cancers,vascular,Phase 3,913,Terminated
NCT00000289,Study of Daratumumab in Multiple myeloma,Daratumumab,CD38,Multiple myeloma,infusion_reactions,Phase 3,596,Suspended
NCT00000290,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 2,270,Suspended
NCT00000291,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 2,1334,Completed
NCT00000292,Study of Rituximab in B-cell lymphoma,Rituximab,CD20,B-cell lymphoma,infusion_reactions,Phase 3,2095,Recruiting
NCT00000293,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 2,160,Recruiting
NCT00000294,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 2,1685,Recruiting
NCT00000295,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 2,1635,Completed
NCT00000296,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 2,286,Terminated
NCT00000297,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 1,1373,Completed
NCT00000298,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 1,753,Recruiting
NCT00000299,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 3,229,Recruiting
NCT00000300,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 1,279,Suspended
NCT00000301,Study of Daratumumab in Multiple myeloma,Daratumumab,CD38,Multiple myeloma,infusion_reactions,Phase 1,1547,Completed
NCT00000302,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 4,3065,Completed
NCT00000303,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 2,1956,Completed
NCT00000304,Study of Daratumumab in Multiple myeloma,Daratumumab,CD38,Multiple myeloma,infusion_reactions,Phase 3,3852,Completed
NCT00000305,Study of Rituximab in B-cell lymphoma,Rituximab,CD20,B-cell lymphoma,infusion_reactions,Phase 4,3390,Suspended
NCT00000306,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 4,3733,Completed
NCT00000307,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 3,1315,Completed
NCT00000308,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 3,4895,Terminated
NCT00000309,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 3,3816,Suspended
NCT00000310,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 1,1766,Recruiting
NCT00000311,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 4,1971,Suspended
NCT00000312,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 4,3366,Suspended
NCT00000313,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 3,3596,Terminated
NCT00000314,Study of Adalimumab in Autoimmune,Adalimumab,TNF-alpha,Autoimmune,infection,Phase 3,1350,Suspended
NCT00000315,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 1,1723,Completed
NCT00000316,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 4,891,Terminated
NCT00000317,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 1,1221,Terminated
NCT00000318,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 4,2996,Suspended
NCT00000319,Study of Rituximab in B-cell lymphoma,Rituximab,CD20,B-cell lymphoma,infusion_reactions,Phase 3,2659,Terminated
NCT00000320,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 2,336,Suspended
NCT00000321,Study of Bevacizumab in Multiple cancers,Bevacizumab,VEGF,Multiple cancers,vascular,Phase 1,737,Terminated
NCT00000322,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 3,4803,Recruiting
NCT00000323,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 1,1267,Terminated
NCT00000324,Study of Rituximab in B-cell lymphoma,Rituximab,CD20,B-cell lymphoma,infusion_reactions,Phase 2,579,Terminated
NCT00000325,Study of Tocilizumab in Rheumatoid arthritis,Tocilizumab,IL-6,Rheumatoid arthritis,infection,Phase 3,150,Recruiting
NCT00000326,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 4,670,Recruiting
NCT00000327,Study of Rituximab in B-cell lymphoma,Rituximab,CD20,B-cell lymphoma,infusion_reactions,Phase 1,1548,Recruiting
NCT00000328,Study of Cetuximab in Colorectal cancer,Cetuximab,EGFR,Colorectal cancer,skin_toxicity,Phase 4,3816,Terminated
NCT00000329,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 3,2652,Terminated
NCT00000330,Study of Ipilimumab in Melanoma,Ipilimumab,CTLA-4,Melanoma,immune_related,Phase 1,1829,Completed
NCT00000331,Study of Pembrolizumab in Multiple cancers,Pembrolizumab,PD-1,Multiple cancers,immune_related,Phase 2,1565,Completed
NCT00000332,Study of Trastuzumab in Breast cancer,Trastuzumab,HER2,Breast cancer,cardiotoxicity,Phase 3,3729,Suspended
NCT00000333,Study of Blinatumomab in ALL,Blinatumomab,CD19/CD3,ALL,neurotoxicity,Phase 4,3492,Terminated
